date,overall_sentiment_score,ticker_sentiment_score,ticker,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,price_movement
2022-10-24,0.09552904,0.11772874,AAPL,147.185,150.23,146.0,149.45,147.816301685476,75981918,0.0,1.0,1
2022-10-25,0.121623,0.14594879166666666,AAPL,150.09,152.49,149.36,152.34,150.674709928173,74732290,0.0,1.0,0
2022-10-26,0.0884377380952381,0.10122469047619048,AAPL,150.96,151.99,148.04,149.35,147.717394825867,88436172,0.0,1.0,0
2022-10-27,0.059238226415094346,0.030034622641509433,AAPL,148.07,149.046,144.13,144.8,143.217132713663,109180150,0.0,1.0,1
2022-10-28,0.08796844927536232,0.1410564927536232,AAPL,148.2,157.5,147.82,155.74,154.037543154875,164762371,0.0,1.0,0
2022-10-31,0.11609284745762712,0.08504093220338983,AAPL,153.155,154.24,151.92,153.34,151.663778524261,97943171,0.0,1.0,0
2022-11-01,0.03836073076923077,-0.0004731153846153806,AAPL,155.08,155.45,149.13,150.65,149.003184000782,80379345,0.0,1.0,0
2022-11-02,0.04718446666666667,0.07876643333333333,AAPL,148.945,152.17,145.0,145.03,143.444618490763,93604623,0.0,1.0,0
2022-11-03,0.059146617647058815,0.09095411764705882,AAPL,142.06,142.8,138.75,138.88,137.361846624817,97918516,0.0,1.0,0
2022-11-04,0.07867788888888888,0.032877833333333335,AAPL,142.09,142.67,134.38,138.38,137.094798103873,140814796,0.23,1.0,1
2022-11-07,0.03352873584905661,0.011733867924528303,AAPL,137.11,139.145,135.671,138.92,137.629782863058,83374628,0.0,1.0,1
2022-11-08,0.0878307037037037,0.02173751851851852,AAPL,140.41,141.43,137.49,139.5,138.204396122924,89908477,0.0,1.0,0
2022-11-09,0.07027383720930232,0.035015581395348834,AAPL,138.5,138.55,134.5933,134.87,133.617397169167,74917794,0.0,1.0,1
2022-11-10,0.05799270212765958,0.048935638297872334,AAPL,141.24,146.87,139.5,146.87,145.50594737329,118854028,0.0,1.0,1
2022-11-11,0.07638178947368421,0.0908097105263158,AAPL,145.82,150.01,144.37,149.7,148.309663796429,93979665,0.0,1.0,0
2022-11-14,0.07766367567567567,0.07369483783783784,AAPL,148.97,150.28,147.43,148.28,146.902852022274,73374114,0.0,1.0,1
2022-11-15,0.11683923076923076,0.07223288461538462,AAPL,152.215,153.59,148.5613,150.04,148.646506052212,89868332,0.0,1.0,0
2022-11-16,0.1313903947368421,0.11889902631578948,AAPL,149.13,149.87,147.29,148.79,147.408115405949,64218266,0.0,1.0,1
2022-11-17,0.10712206896551724,0.08117962068965517,AAPL,146.43,151.48,146.15,150.72,149.320190563779,80389400,0.0,1.0,1
2022-11-18,0.14370216000000002,0.08101676,AAPL,152.305,152.7,149.97,151.29,149.884896698475,74829573,0.0,1.0,0
2022-11-21,0.0929426,0.12169811428571428,AAPL,150.16,150.37,147.715,148.01,146.635359642681,58724070,0.0,1.0,1
2022-11-22,0.15977996428571428,0.16659182142857146,AAPL,148.13,150.42,146.925,150.18,148.785205804593,51804132,0.0,1.0,1
2022-11-23,0.06503263636363636,0.07195842424242424,AAPL,149.45,151.83,149.34,151.07,149.666939944733,58301395,0.0,1.0,0
2022-11-25,0.0689049393939394,0.04874621212121212,AAPL,148.305,148.88,147.12,148.11,146.734430894382,35195860,0.0,1.0,0
2022-11-28,0.008817075757575756,-0.0037030000000000014,AAPL,145.14,146.64,143.38,144.22,142.880559203213,69346522,0.0,1.0,0
2022-11-29,0.05890732608695652,0.04922452173913043,AAPL,144.29,144.81,140.355,141.17,139.858886026331,83763803,0.0,1.0,1
2022-11-30,0.07449925,0.05095168181818182,AAPL,141.395,148.72,140.55,148.03,146.655173893021,111380880,0.0,1.0,1
2022-12-01,0.036453295454545454,-0.0013114318181818177,AAPL,148.21,149.13,146.61,148.31,146.932573397784,71250416,0.0,1.0,0
2022-12-02,0.1283051515151515,0.12259263636363635,AAPL,145.96,148.0,145.65,147.81,146.437217139279,65447446,0.0,1.0,0
2022-12-05,0.09598508333333333,0.06260361111111111,AAPL,147.77,150.9199,145.77,146.63,145.268176369207,68826442,0.0,1.0,0
2022-12-06,0.07736110416666667,0.03239914583333333,AAPL,147.075,147.3,141.92,142.91,141.582725805929,64727186,0.0,1.0,0
2022-12-07,0.07035593333333333,0.04417655555555556,AAPL,142.19,143.37,140.0,140.94,139.631022147419,69721094,0.0,1.0,1
2022-12-08,0.070024775,0.038301425,AAPL,142.36,143.52,141.1,142.65,141.325140551507,62128338,0.0,1.0,0
2022-12-09,0.1164016818181818,0.08431754545454545,AAPL,142.34,145.57,140.9,142.16,140.839691418172,76097011,0.0,1.0,1
2022-12-12,0.11504564,0.11268604,AAPL,142.7,144.5,141.06,144.49,143.148051582805,70462654,0.0,1.0,1
2022-12-13,0.12720368965517242,0.06840572413793104,AAPL,149.5,149.9692,144.24,145.47,144.118949849475,93886161,0.0,1.0,0
2022-12-14,0.12145,0.17758728571428573,AAPL,145.35,146.655,141.16,143.21,141.879939561032,82291182,0.0,1.0,0
2022-12-15,0.08100146153846154,0.07325973076923077,AAPL,141.11,141.8,136.025,136.5,135.232258571894,98931907,0.0,1.0,0
2022-12-16,0.06366147999999999,-0.006813480000000003,AAPL,136.685,137.65,133.73,134.51,133.260740663043,160156900,0.0,1.0,0
